,vid_id,title,description,published,view_count,like_count,comment_count,title_length,reactions
0,d4WgOIrby5Q,Backtesting Rayner Teos 1689% Bollinger Bands Trading Strategy in Python [Part II] - OVER 1K stocks,"In this video we are testing the Bollinger Band Trading Strategy presented by Rayner Teo in Python applying it on 1000 stocks in the Russel 1000 Index.

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Part I:
https://youtu.be/mtgr9eMXmgU

My video on Bollinger Bands:
https://youtu.be/8PzQSgw0SpM

Rayners video: https://youtu.be/CxFv_EUY0ZA

Video on Python & SQL:
https://youtu.be/OjMDXTlVOYU

wikipedia string:
https://en.wikipedia.org/wiki/Russell_1000_Index

Be invited to check out more videos in my Python for Finance playlist and most importantly:
Please subscribe if you want more of this content! Thx :-)

Disclaimer: This video is not an investment advice and is for educational and entertainment purposes only!  

00:00 - 00:42 Introduction/ Libs
00:42 - 02:00 Getting all Russell 1000 stock tickers
02:00 - 04:29 Storing Price data in a local Database (recommended)
04:29 - 06:08 How to access data from the DataBase
06:08 - 08:07 Setting up the Backtest (covered in Part I)
08:07 - 15:20 Backtesting all 1K stocks
15:20 - 16:00 Seemingly awesome results are not awesome
16:00 - 19:50 Getting rid of clusters / overlaps
19:50 - 22:30 Analyzing the strategy / amendments
22:30 - 22:49 Brain 🧠 lag (sorry)
22:49 - 24:34 win rate, mean profit, equity curve
24:34 - 25:51 Including tradings feeds (Net Profit)
25:51 - 27:06 The problem of excluding the 10 days condition
27:06 - 27:49 Summary / LIVE MARKET up next?!

#Python #Trading #Strategy #BollingerBands #RSI",2022-03-29T19:29:13Z,39503,916,93,99,1102
1,mtgr9eMXmgU,Backtesting Rayner Teos 1689% Bollinger Bands Trading Strategy in Python [Part I],"In this video we are testing the Bollinger Band Trading Strategy presented by Rayner Teo in Python applying it on the Apple and Tesla stock.

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

I already finished Backtesting all Russell 1000 stocks (over 1 million rows of data) and got some interesting results. Let me know if you want Part II by hitting the like button or leaving me a comment. What would also be quite interesting would be to test this in the live crypto market. Everything is possible - I just urgently need your feedback! :-)

My video on Bollinger Bands:
https://youtu.be/8PzQSgw0SpM

Rayners video: https://youtu.be/CxFv_EUY0ZA

For the signals I am using a vectorized approach. You can alternatively also use a Loop approach.

Mentioned video on finding actual trades: 
https://youtu.be/eEqp-iu8eI8

Be invited to check out more videos in my Python for Finance playlist and most importantly:
Please subscribe if you want more of this content! Thx :-)

Disclaimer: This video is not an investment advice and is for educational and entertainment purposes only!  

00:00 - 01:26 Introduction / Strategy
01:26 - 02:42 Libs/Pulling prices
02:42 - 05:38 Technical indicators (SMA, Bollinger Band, RSI)
05:38 - 06:17 Plotting BB (optional)
06:17 - 10:57 Buying/Selling Conditions
10:57 - 15:58 Getting actual trades (vectorized approach)
15:58 - 17:41 Profit calculation
17:41 - 18:43 Repeating the whole procedure for TSLA
18:43 - 18:59 Up next! Over 1k stocks!
#Python #Trading #Strategy #BollingerBands #RSI",2022-03-20T19:45:42Z,32818,845,117,81,1079
2,vCRSU9Cqzxg,Cryptocurrency Fear & Greed Index Trading Strategy with Python,"Hi everyone,
in this video we are pulling the Fear & Greed index via API. Then formulate a simple Trading strategy using the Index values as signals. There is way more you can do with that data as I mentioned in the end. Let me know if that is interesting for you!

If you enjoy my videos please consider subscribing. You are helping me a lot with that!

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Video on how returns are calculated:
https://youtu.be/fWHQwqT3lNY

More details on API calls / Binance API usage:
https://youtu.be/0QKXso4PIc4

Be invited to check out my videos on crypto stuff / trading bots with Python:
https://youtube.com/playlist?list=PL9ATnizYJ7f8_opOpLnekEZNsNVUVbCZN

Fear & Greed Website:
https://alternative.me/crypto/fear-and-greed-index/

No investment advice! Video is for educational purposes only.

#Python #Crypto #Trading

00:00 - 00:29 Fear & Greed Index
00:29 - 02:34 Pulling index data from the API
02:34 - 05:12 Data manipulations
05:12 - 07:03 Adding Bitcoin Price data / merging Dataframes
07:03 - 11:51 Strategy formulating / Test / Benchmarking",2022-03-13T14:06:54Z,4885,265,72,62,409
3,_BrPshkROhs,How To Build a Simple Cryptocurrency Trading Bot with Python and the Binance API,"Hi everyone,
I made some simplifications and further amendments to the already covered trading bot on the Slow / Fast SMA holding strategy. Let me know what you think in the comments below :-)
Thx a lot for watching.

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Disclaimer: This video is not an investment advice and is for educational and entertainment purposes only! Cryptocurrency and automated trading is bearing a high amount of risk which might result in a total loss of your invested capital.

If you want to support me you can register for Binance with this link, but don't feel forced to:
https://www.binance.com/en/register?ref=17165515

Mentioned video in the very beginning:
https://youtu.be/PYW4AIMEvsU

Note: In the very beginning I am referring to changes in the csv file. While recording I have actually considered it to be way more easy to directly change the dataframe. You can still work with a changing csv file with 2 amendments: Pulling the csv file before looping over the selling and buying conditions. Change the changepos function and add a to_csv function (as in the linked video).

Set up Binance API video:
https://youtu.be/_IV1qfSPPwI

Backtesting Crypto strategies:
https://youtu.be/HB1CLz0Z1NY

Backtesting SMAs in general (including finding best pairs):
https://youtu.be/vWVZxiaaTCs

Video on deployment on the Google Cloud Platform (GCP):
https://youtu.be/mDNIAkEZChg

Also please check out my cryptobot playlist, there is a lot more stuff to check out if you are interested in those kinds of topics:
https://youtube.com/playlist?list=PL9ATnizYJ7f8_opOpLnekEZNsNVUVbCZN

['BTCUSDT','ETHUSDT','LUNAUSDT','SOLUSDT','UNIUSDT','AVAXUSDT','QNTUSDT','BNBUSDT','GALAUSDT','XRPUSDT','SHIBUSDT','ENJUSDT','DOTUSDT','SANDUSDT','DOGEUSDT','VETUSDT','NEARUSDT','ONEUSDT','XLMUSDT','MANAUSDT','TRXUSDT','XTZUSDT','BCHUSDT','FILUSDT','ATOMUSDT','KLAYUSDT','AAVEUSDT','HNTUSDT','EGLDUSDT','ADAUSDT','LINKUSDT','MATICUSDT','EOSUSDT','THETAUSDT','LTCUSDT','NEOUSDT','ETCUSDT','XMRUSDT','TFUELUSDT','FTMUSDT','ALGOUSDT','HBARUSDT','FTTUSDT','MKRUSDT','AXSUSDT','GRTUSDT','CAKEUSDT','ICPUSDT','FLOWUSDT','XECUSDT']

00:00 - 00:50 Infrastructure of the bot (please read Note in the description)
00:50 - 04:11 Going over some Trades on Binance
04:11 - 04:56 Prerequisites / Disclaimer
04:56 - 07:31 Setting up initial csv file/ dataframe 
07:31 - 08:05 Libraries / Set up
08:05 - 10:10 Pulling historical price data          
10:10 - 11:45 Technical indicator / SMA calculation and check
11:45 - 15:16 Function changing positions in case of buy / sell
15:16 - 22:15 Trading logic
22:15 - 24:34 Running the bot / Hints on deployment

#Python #Tradingbot #Crypto #Binance",2022-03-06T18:25:24Z,10748,337,133,80,603
4,mW6jP2CalI0,Crypto Live Price Analysis with Python [Quick & Dirty],"Hi everyone,
in this video we are pulling live prices and writing that into a DataBase. Then we are analyzing this data with some simple examples visualising the cumulative returns and also top and worst performers. There is way more you can do with that data e.g. apply technical analysis to that data and many more possibilities. Anyhow I think this is a good foundation to get started.

If you enjoy my videos please consider subscribing. You are helping me a lot with that!

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Video on how returns are calculated:
https://youtu.be/fWHQwqT3lNY

Video on using unicorn library / mentioned first script video:
https://youtu.be/yTg7msDp2Q8
and 
https://youtu.be/Ml6LUH2wxgc

Be invited to check out my videos on crypto stuff / trading bots with Python:
https://youtube.com/playlist?list=PL9ATnizYJ7f8_opOpLnekEZNsNVUVbCZN

symbols = ['btcusdt','ethusdt','bnbusdt','xrpusdt','adausdt','solusdt','AVAXusdt','lunausdt','dousdt','dogeusdt','shibusdt','maticusdt','ltcusdt','atomusdt','linkusdt','trxusdt','neausdt','bchusdt','algousdt','fttusdt','xlmusdt','ftmusdt','uniusdt','hbarusdt','manausdt','icpusdt','etcusdt','axsusdt','sandusdt','egldusdt','klayusdt','vetusdt','filusdt','thetausdt','xtzusdt','xmrusdt','grtusdt','hntusdt','eosusdt','cakeusdt','galausdt','flowusdt','tfuelusdt','aaveusdt','oneusdt','neousdt','mkrusdt','qntusdt','enjusdt','xecusdt']

#Python #Crypto #Analysis

00:00 - 00:24 Idea
00:24 - 02:05 1. script: Live price data / SQL storage
02:05 - 03:28 2. script from here: pulling table names
03:28 - 04:08 Pulling prices from the live Database
04:08 - 06:42 Prices for all symbols / data manipulations
06:42 - 10:30 Analyzing price developments",2022-02-27T18:33:45Z,3926,130,37,54,204
5,FZgeDazuDWI,Portfolio Optimization with Python [Cryptocurrencies],"Hi everyone,
in this video we are doing some Portfolio Optimization using Python and the pyportfolioopt library. I thought it would be interesting to apply modern portfolio theory concepts to cryptocurrency price data.
First we are pulling some historical price data using the Binance API, then we are calculating the Efficient Frontier and playing a bit around with Altcoins. In the end we are building an optimal portfolio using the maximum sharpe ratio and minimum volatility as the constraints.

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Play a bit around with your favorite coins or feed even more coins into that. Let me know what insights you got!

If you find my videos enjoyable please consider subscribing. You are helping me a lot with that!

My old vid on calculating an Efficient Frontier on stocks (including the calculating steps):
https://youtu.be/mJTrQfzr0R4

Please check out my other videos on applying some Data Science stuff to Cryptocurrencies:
https://youtube.com/playlist?list=PL9ATnizYJ7f8_opOpLnekEZNsNVUVbCZN

#Python #Crypto #PortfolioOptimization

00:00 - 00:52 Introduction / Prerequisites/ Libraries
00:52 - 04:04 Pull daily cryptocurrency price data
04:04 - 07:16 Efficient Frontier calculation, plotting & interpretation
07:16 - 11:07 Improving the plot with coin annotations / volatility recap
11:07 - 11:37 The ""best"" and ""worst"" coins
11:37 - 12:52 Adding some Altcoins
12:52 - 15:31 Optimal portfolio (max sharpe & min vol)",2022-02-26T20:45:33Z,4659,208,65,53,338
6,Ml6LUH2wxgc,"How to build a Cryptocurrency Price Index [with Python using SQL,APIs and Streamlit]","Hi everyone,
in this one we are going to build a cryptocurrency price index similar to the S&P500/Dow Jones/Sensex/DAX whatever you are for stocks. Those indices are usually calculated using value weighted returns. Anyhow we are using equal weighted returns.
There are basically endless possibilities with that but this video should give you an idea how to start. Figuring out the altair part took me multiple hours so please hit the like button to make it worth it :D

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Please check out the mentioned videos beforehand to better follow along:
Video on a live price data stream using binance unicorn and streamlit:
https://youtu.be/yTg7msDp2Q8

Please also check the linked streamlit videos below that.

Videos on requesting data from cryptoexchange APIs:
https://youtu.be/0QKXso4PIc4

Video on how returns are calculated:
https://youtu.be/fWHQwqT3lNY

If you are interested in more Python and Crypto related content please check out my cryptobot playlist:
https://youtube.com/playlist?list=PL9ATnizYJ7f8_opOpLnekEZNsNVUVbCZN

Get Market caps credits to javierfish on stackoverflow:
https://stackoverflow.com/questions/66132843/is-there-a-way-to-get-the-market-cap-or-market-cap-rank-of-a-coin-using-the-bina

symbols = ['btc', 'eth', 'bnb', 'xrp', 'ada','sol','dot','luna','AVAX','doge','shib','matic',
'ltc','atom','link','near','trx','algo','bch','ftt','xlm','ftm','uni','mana','hbar','sand',
'etc','axs','icp','vet','xtz','fil','egld','theta','xmr','klay','hnt','grt','gala','one','eos',
'flow','aave','cake','mkr','qnt','enj','ar','tfuel','xec','stx','neo','ksm','zec','amp','rune',
 'cvx','bat','celo','lrc','crv','rose','chz','dash','waves','scrt','slp','snx','mina']

00:00 - 02:10 Intro / Prerequisites / Explanations
02:10 - 05:18 First script pushing live prices to a SQL DB
05:18 - 08:32 Get Market Caps using the Coingecko API
08:32 - 16:20 Step by step Index calculation
16:20 - 19:22 Repeating all Index calculation steps within a function
19:22 - 24:42 Creating the streamlit script
24:42 - 25:34 Run the app / Thx for watching

#Python #Crypto #Index",2022-02-13T20:58:03Z,5632,183,57,84,297
7,0QKXso4PIc4,"Cryptocurrency Exchange API Tutorial with Python [Binance, Kucoin,...]","Hi everyone,
in this video I am covering how to interact with the Binance API (and other crypto exchanges e.g. Kucoin) using Python. 
We are first checking how to pull data without parameters, then add parameters and in the end we will check how to place orders.
Hope this is helpful for you!
In my previous videos I was using the python-binance library which I will continue to use but it is definitely worth it to check out how it would work without making use of that library.

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Big credits to:
https://code.luasoftware.com/tutorials/cryptocurrency/python-connect-to-binance-api/

Video on getting api_key and api_secret:
https://youtu.be/_IV1qfSPPwI

Proceeding, manipulating and amending cryptocurrency data is basically covered in every video in the cryptobot playlist:
https://youtube.com/playlist?list=PL9ATnizYJ7f8_opOpLnekEZNsNVUVbCZN

Binance docs:
https://github.com/binance/binance-spot-api-docs/blob/master/rest-api.md#exchange-information

Kucoin docs:
https://docs.kucoin.com/


Further reading on HTTP methods:
https://medium.com/@9cv9official/what-are-get-post-put-patch-delete-a-walkthrough-with-javascripts-fetch-api-17be31755d28

00:00 - 00:24 Intro / What you need
00:24 - 02:19 Base endpoint, path and simple get request
02:19 - 05:37 Get request with parameters
05:37 - 07:08 Kucoin example with the shown approaches
07:08 - 10:47 Place an order (check description for link/credits)

#Python #API #Binance #Kucoin",2022-02-08T19:58:01Z,5629,202,45,70,292
8,yTg7msDp2Q8,Binance Live Returns Crypto Trading Dashboard with Python and Streamlit,"Hi everyone,
in this video we are constructing a Cryptocurrency Dashboard to identify strong up- and downward movements on the Binance platform in the very short term. Should be helpful to get a better overview of the market.
The video is just a field test to check if there is interest behind this, one can examine way more such as Volumns, Volatilies and so on. Let me know that you find this interesting!

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Please watch my video(s) on streamlit beforehand to better follow along:
Basics:
https://youtu.be/Km2KDo6tFpQ
Second vid:
https://youtu.be/YsnPlQyCYfo

Video on how returns are calculated:
https://youtu.be/fWHQwqT3lNY

Video on getting a better understanding how the SQL implementation works:
https://youtu.be/rc_Y6rdBqXM

Also be invited to check out my cryptobot playlist 

Video on getting those symbols:
https://youtu.be/07FUXpcy9FI

Also be invited to check out my cryptobot playlist:
https://youtube.com/playlist?list=PL9ATnizYJ7f8_opOpLnekEZNsNVUVbCZN

But as said, also linked here:
symbols = ['GALAUSDT',
 'WANUSDT',
 'COTIUSDT',
 'BTTCUSDT',
 'AXSUSDT',
 'CELOUSDT',
 'FTMUSDT',
 'ANYUSDT',
 'KEEPUSDT',
 'LINKUSDT',
 'XTZUSDT',
 'SANDUSDT',
 'SPELLUSDT',
 'FILUSDT',
 'REEFUSDT',
 'C98USDT',
 'IOTXUSDT',
 'ADAUSDT',
 'DOGEUSDT',
 'ETCUSDT',
 'TVKUSDT',
 'RUNEUSDT',
 'KSMUSDT',
 'BTCUSDT',
 'UNIUSDT',
 'LAZIOUSDT',
 'ALPHAUSDT',
 'SOLUSDT',
 'XRPUSDT',
 'MANAUSDT',
 'LRCUSDT',
 '1INCHUSDT',
 'AVAXUSDT',
 'NEARUSDT',
 'WAXPUSDT',
 'STXUSDT',
 'ALGOUSDT',
 'ATOMUSDT',
 'OMGUSDT',
 'RVNUSDT',
 'BANDUSDT',
 'CVCUSDT',
 'GXSUSDT',
 'THETAUSDT',
 'ROSEUSDT',
 'DYDXUSDT',
 'KNCUSDT',
 'BCHUSDT',
 'QTUMUSDT',
 'ONEUSDT',
 'FIDAUSDT',
 'ETHUSDT',
 'OCEANUSDT',
 'HIGHUSDT',
 'XLMUSDT',
 'DARUSDT',
 'PEOPLEUSDT',
 'ZRXUSDT',
 'YFIUSDT',
 'WINUSDT',
 'ARPAUSDT',
 'SNXUSDT',
 'DUSKUSDT',
 'FLUXUSDT',
 'ENSUSDT',
 'EOSUSDT',
 'CELRUSDT',
 'SRMUSDT',
 'AAVEUSDT',
 'QIUSDT',
 'SXPUSDT',
 'BAKEUSDT',
 'XECUSDT',
 'STORJUSDT',
 'ILVUSDT',
 'GLMRUSDT',
 'BELUSDT',
 'ENJUSDT',
 'COSUSDT',
 'NEOUSDT',
 'YGGUSDT',
 'USDPUSDT',
 'TRXUSDT',
 'ZECUSDT',
 'BEAMUSDT',
 'TLMUSDT',
 'MATICUSDT',
 'CHZUSDT',
 'ATAUSDT',
 'ARUSDT',
 'DASHUSDT',
 'FLOWUSDT',
 'MOVRUSDT',
 'GTOUSDT',
 'CRVUSDT',
 'ZILUSDT',
 'LUNAUSDT',
 'RSRUSDT',
 'JOEUSDT',
 'LOKAUSDT',
 'ICPUSDT',
 'MKRUSDT',
 'SUSHIUSDT',
 'CTKUSDT',
 'KAVAUSDT',
 'VOXELUSDT',
 'NUUSDT',
 'XEMUSDT',
 'WINGUSDT',
 'CVXUSDT',
 'UNFIUSDT',
 'KLAYUSDT',
 'CTXCUSDT',
 'PSGUSDT',
 'LTCUSDT',
 'ALICEUSDT',
 'JASMYUSDT',
 'MBOXUSDT',
 'NMRUSDT',
 'ANKRUSDT',
 'MINAUSDT',
 'CAKEUSDT',
 'CHRUSDT',
 'EGLDUSDT',
 'RNDRUSDT',
 'BICOUSDT',
 'GTCUSDT',
 'SYSUSDT',
 'ANCUSDT',
 'DREPUSDT',
 'LTOUSDT',
 'HBARUSDT',
 'COMPUSDT',
 'LINAUSDT',
 'IDEXUSDT',
 'IOTAUSDT',
 'ICXUSDT',
 'NULSUSDT',
 'WAVESUSDT',
 'XMRUSDT',
 'MITHUSDT',
 'TFUELUSDT',
 'MTLUSDT',
 'TOMOUSDT',
 'PERLUSDT',
 'KEYUSDT',
 'FUNUSDT',
 'RENUSDT',
 'NKNUSDT',
 'RLCUSDT',
 'TROYUSDT',
 'VITEUSDT',
 'OGNUSDT',
 'WRXUSDT',
 'BTSUSDT',
 'LSKUSDT',
 'AIONUSDT',
 'WTCUSDT',
 'DATAUSDT',
 'CTSIUSDT',
 'HIVEUSDT',
 'STMXUSDT',
 'REPUSDT',
 'SCUSDT',
 'ZENUSDT',
 'VTHOUSDT',
 'IRISUSDT',
 'YFIIUSDT',
 'DIAUSDT',
 'FIOUSDT',
 'UMAUSDT',
 'NBSUSDT',
 'SUNUSDT',
 'FLMUSDT',
 'ORNUSDT',
 'UTKUSDT',
 'XVSUSDT',
 'AKROUSDT',
 'HARDUSDT',
 'STRAXUSDT',
 'SKLUSDT',
 'JUVUSDT',
 'ATMUSDT',
 'ASRUSDT',
 'TRUUSDT',
 'FIROUSDT',
 'SFPUSDT',
 'BADGERUSDT',
 'FISUSDT',
 'OMUSDT',
 'PONDUSDT',
 'DEGOUSDT',
 'PERPUSDT',
 'CFXUSDT',
 'EPSUSDT',
 'TKOUSDT',
 'BTGUSDT',
 'MIRUSDT',
 'FORTHUSDT',
 'POLSUSDT',
 'MDXUSDT',
 'MASKUSDT',
 'XVGUSDT',
 'ERNUSDT',
 'BONDUSDT',
 'DEXEUSDT',
 'RAYUSDT',
 'FARMUSDT',
 'ALPACAUSDT',
 'FORUSDT',
 'REQUSDT',
 'TRIBEUSDT',
 'DFUSDT',
 'AGLDUSDT',
 'BETAUSDT',
 'RAREUSDT',
 'ADXUSDT',
 'BNXUSDT',
 'CITYUSDT',
 'KP3RUSDT',
 'PORTOUSDT',
 'POWRUSDT',
 'AMPUSDT',
 'PLAUSDT',
 'PYRUSDT',
 'ALCXUSDT',
 'MCUSDT',
 'FXSUSDT',
 'OOKIUSDT',
 'ACHUSDT',
 'IMXUSDT',
 'ACAUSDT',
 'XNOUSDT']

Unicorn Library: https://pypi.org/project/unicorn-binance-websocket-api/

00:00 - 00:50 Dashboard / Functionalities
00:50 - 03:22 Live streaming multiple coins data using Unicorn lib
03:22 - 11:58 First Script: creating and populating SQL DB
11:58 - 15:28 2nd script: Requesting live data
15:28 - 16:22 2nd script: return calculation
16:22 - 18:40 2nd script: returns for all symbols / top & worst performers
18:40 - 20:51 Streamlit amendments
20:51- 23:02 Running the streamlit app and final beautifications

#Crypto #Binance #Python #Streamlit",2022-01-30T18:10:55Z,9446,302,47,71,396
9,07FUXpcy9FI,Cryptocurrency Screener for Technical Indicators on ALL Binance coins,"Thanks for watching :-)
This video is showing how to construct a cryptocurrency screener for technical indicators (with the example of the MACD histogram and EMA) using Python and the Binance API. We are building up a livestream getting prices for all available coins on binance and check if the MACD crosses from negative to positive and if the price is above the 100 time steps EMA for all those assets.

Get the Notebook/Source code by becoming a Tier-2 Channel member:
https://www.youtube.com/c/Algovibes/join

Websocket livestream explained in detail (line by line) here:
https://youtu.be/mDNIAkEZChg

Video on Binance/SQL:
https://youtu.be/rc_Y6rdBqXM

Video on MACD:
https://youtu.be/JzdVPnCSSuo

Stock related technical analysis,  first use of the ta library and use of symbols logic:
https://youtu.be/AuZmsv6dQCM

Strategy I was rebuilding here (inspired by Data Trader):
https://youtu.be/Yj0yEBxwLVw

If you want to support me you can register for Binance with this link, but don't feel forced to:
https://www.binance.com/en/register?ref=17165515

Disclaimer: This video is not an investment advice and is for educational and entertainment purposes only! Cryptocurrency trading is bearing a high amount of risk which might result in a total loss of your invested capital.

00:00 - 01:10 Introduction / Idea / Disclaimer
01:10 - 01:40 Quick recap on live data stream (check description)
01:40 - 03:05 Requesting data from the Live DataBase
03:05 - 05:00 Technical indicator calculation (MACD/EMA)
05:00 - 07:45 Explanation when conditions are met
07:45 - 09:40 Function checking if condition is met for given dataframe
09:40 - 11:45 Get all symbols and get rid of leveraged / forex tokens
11:45 - 13:20 Screen all coins for fulfilling trading signals 
13:20 - 14:45 Different timeframes / comparing to Binance interface
14:45 - 15:03 Thanks for watching :-)",2022-01-24T18:47:18Z,7388,285,75,69,435
